Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ACEL,"Accel Entertainment, Inc.",13.14,$1.15B,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACER,Acer Therapeutics Inc.,2.63,$31.33M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACEVU,ACE Convergence Acquisition Corp.,9.95,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevu
ACGL,Arch Capital Group Ltd.,32.13,$13.04B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acgl
ACGLO,Arch Capital Group Ltd.,26.57,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,25.67,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglp
ACH,Aluminum Corporation of China Limited,6.15,$4.19B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ACHC,"Acadia Healthcare Company, Inc.",31.12,$2.77B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACHV,"Achieve Life Sciences, Inc. ",7.64,$27.41M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACI,"Albertsons Companies, Inc.",14,$6.71B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci
ACIA,"Acacia Communications, Inc.",67.71,$2.85B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACIU,AC Immune SA,7.75,$556.91M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",30.25,$3.52B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acll
ACLS,"Axcelis Technologies, Inc.",25.3,$846.67M,2000,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acls
ACM,AECOM,39.46,$6.33B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
ACMR,"ACM Research, Inc.",95.23,$1.72B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACN,Accenture plc,247.18,$157.4B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACNB,ACNB Corporation,21.57,$187.57M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACND.U,Ascendant Digital Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/acnd.u
ACOR,"Acorda Therapeutics, Inc.",0.5242,$25.15M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACP,Aberdeen Income Credit Strategies Fund,10.23,$178.33M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,9.77,$326.73M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ACRS,"Aclaris Therapeutics, Inc.",2.35,$100.68M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",1.23,$111.1M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACST,"Acasti Pharma, Inc.",0.217,$21.03M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
ACT,AdvisorShares Vice ETF,26.825,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/act
ACTG,Acacia Research Corporation,3.82,$188.25M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACU,Acme United Corporation.,23.24,$77.54M,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ACV,AllianzGI Diversified Income & Convertible Fund,27.55,$285.25M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
ACWI,iShares MSCI ACWI Index Fund,84.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,47.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acwx
ACY,AeroCentury Corp.,2.35,$3.63M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
ADAP,Adaptimmune Therapeutics plc,8.38,$1.3B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
ADBE,Adobe Inc.,533.8,$256.05B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
ADC,Agree Realty Corporation,66.66,$3.59B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
ADCT,ADC Therapeutics SA,39.84,$2.82B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct
ADES,"Advanced Emissions Solutions, Inc.",3.94,$73.12M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
ADI,"Analog Devices, Inc.",121.83,$44.98B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/adi
ADIL,"Adial Pharmaceuticals, Inc",1.4,$18.99M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.3599,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
ADM,Archer-Daniels-Midland Company,45.74,$25.42B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
ADMA,ADMA Biologics Inc,2.28,$196.88M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,0.6035,$44.61M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",5.28,$149.33M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADNT,Adient plc,18.68,$1.75B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADP,"Automatic Data Processing, Inc.",142.48,$61.26B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/adp
ADPT,Adaptive Biotechnologies Corporation,41.79,$5.67B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,48.4781,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",2.98,$241.56M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
ADS,Alliance Data Systems Corporation,46.07,$2.2B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
ADSK,"Autodesk, Inc.",261.35,$57.29B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adsk
ADSW,"Advanced Disposal Services, Inc.",29.99,$2.72B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
ADT,ADT Inc.,10.86,$8.37B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ADTN,"ADTRAN, Inc.",11.44,$548.64M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
ADTX,"ADiTx Therapeutics, Inc.",2.67,$18.63M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx
ADUS,Addus HomeCare Corporation,92.94,$1.46B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",12.31,$1.2B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
ADX,"Adams Diversified Equity Fund, Inc.",17.21,$1.87B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
ADXN,Addex Therapeutics Ltd,14.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
ADXS,"Advaxis, Inc.",0.4394,$27.56M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
AE,"Adams Resources & Energy, Inc.",21.65,$91.85M,n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
AEB,Aegon NV,24.82,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEE,Ameren Corporation,80.23,$19.82B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.78,$344.1M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef
AEFC,Aegon Funding Company LLC,25.58,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEG,Aegon NV,2.72,$5.58B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AEGN,Aegion Corp,16.22,$499.11M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.84,$42.86M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",76.45,$2.93B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AEL,American Equity Investment Life Holding Company,24.1,$2.22B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,24.16,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AEL^B,American Equity Investment Life Holding Company,25.77,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^b
AEM,Agnico Eagle Mines Limited,81.98,$19.81B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEMD,"Aethlon Medical, Inc.",1.35,$16.3M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aemd
AEO,"American Eagle Outfitters, Inc.",13.01,$2.15B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",80.31,$39.85B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
